NAME,total_pop,pop_white,pop_black,pop_asian,pop_hispanic,pop_native_amer,pop_not_hisp_white,pop_not_hisp_black,pop_not_hisp_na,pop_not_hisp_asian,pop_not_hisp_nh_pi,pop_not_hisp_other,pop_not_hisp_two_more,pop_hisp_white,B03002_014,pop_hisp_na,pop_hisp_asian,pop_hisp_nh_pi,pop_hisp_other,pop_hisp_two_more,med_age,pop_male,pop_female,med_income,pop_below_poverty,pop_employed,month_housing_costs,pop_work_out_res_area,pop_rented,pop_owned,pop_occupied,total_hu,pop_under_18,total_families,pop_native_born,pop_foreign_born,pop_educ_lt_hs,pop_educ_hs,pop_educ_some_col,pop_educ_mt_ba,state,county,tract,census_tract,ZIP,TRACT
"Census Tract 1997, Los Angeles County, California",3006.0,903.0,112.0,426.0,2043.0,35.0,401.0,112.0,0.0,426.0,0.0,11.0,13.0,502.0,0.0,35.0,0.0,0.0,1436.0,70.0,36.9,1639.0,1367.0,17173.0,754.0,1635.0,1226.0,995.0,2165.0,828.0,2993.0,1255.0,283.0,687.0,1661.0,1345.0,863.0,340.0,396.0,709.0,06,037,199700,06037199700,90031,06037199700
"Census Tract 1999, Los Angeles County, California",2687.0,803.0,7.0,437.0,2202.0,0.0,41.0,7.0,0.0,437.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,1375.0,65.0,33.7,1386.0,1301.0,20317.0,450.0,1136.0,1033.0,631.0,2077.0,610.0,2687.0,896.0,388.0,521.0,1531.0,1156.0,809.0,541.0,266.0,219.0,06,037,199900,06037199900,90031,06037199900
"Census Tract 1999, Los Angeles County, California",2687.0,803.0,7.0,437.0,2202.0,0.0,41.0,7.0,0.0,437.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,1375.0,65.0,33.7,1386.0,1301.0,20317.0,450.0,1136.0,1033.0,631.0,2077.0,610.0,2687.0,896.0,388.0,521.0,1531.0,1156.0,809.0,541.0,266.0,219.0,06,037,199900,06037199900,90033,06037199900
"Census Tract 2011.10, Los Angeles County, California",2203.0,781.0,76.0,345.0,1562.0,30.0,243.0,67.0,0.0,331.0,0.0,0.0,0.0,538.0,9.0,30.0,14.0,0.0,887.0,84.0,40.3,1103.0,1100.0,30282.0,286.0,1143.0,1638.0,699.0,676.0,1511.0,2187.0,844.0,334.0,524.0,1456.0,747.0,448.0,317.0,315.0,480.0,06,037,201110,06037201110,90032,06037201110
"Census Tract 2011.20, Los Angeles County, California",4043.0,1144.0,82.0,377.0,3182.0,37.0,339.0,71.0,0.0,368.0,0.0,29.0,54.0,805.0,11.0,37.0,9.0,0.0,2098.0,222.0,31.9,2107.0,1936.0,29926.0,381.0,2078.0,1607.0,1129.0,2543.0,1500.0,4043.0,1342.0,693.0,922.0,2533.0,1510.0,764.0,426.0,621.0,735.0,06,037,201120,06037201120,90032,06037201120
"Census Tract 2012, Los Angeles County, California",2709.0,1092.0,0.0,307.0,2135.0,45.0,251.0,0.0,0.0,307.0,0.0,0.0,16.0,841.0,0.0,45.0,0.0,0.0,1030.0,219.0,38.3,1434.0,1275.0,23168.0,302.0,1307.0,1182.0,729.0,1120.0,1589.0,2709.0,805.0,431.0,591.0,1711.0,998.0,666.0,503.0,458.0,292.0,06,037,201200,06037201200,90032,06037201200
"Census Tract 2013.01, Los Angeles County, California",4377.0,1599.0,77.0,672.0,3470.0,70.0,155.0,77.0,0.0,672.0,0.0,3.0,0.0,1444.0,0.0,70.0,0.0,0.0,1650.0,306.0,34.6,2428.0,1949.0,24557.0,997.0,1943.0,1126.0,1018.0,2234.0,2056.0,4290.0,1135.0,807.0,856.0,2507.0,1870.0,1070.0,543.0,602.0,631.0,06,037,201301,06037201301,90032,06037201301
"Census Tract 2013.02, Los Angeles County, California",4247.0,1033.0,413.0,2063.0,863.0,10.0,766.0,326.0,0.0,2022.0,0.0,36.0,234.0,267.0,87.0,10.0,41.0,0.0,372.0,86.0,44.1,2164.0,2083.0,49135.0,454.0,2060.0,2098.0,1238.0,1381.0,2861.0,4242.0,2009.0,469.0,947.0,2644.0,1603.0,439.0,341.0,717.0,2150.0,06,037,201302,06037201302,90032,06037201302
"Census Tract 2013.02, Los Angeles County, California",4247.0,1033.0,413.0,2063.0,863.0,10.0,766.0,326.0,0.0,2022.0,0.0,36.0,234.0,267.0,87.0,10.0,41.0,0.0,372.0,86.0,44.1,2164.0,2083.0,49135.0,454.0,2060.0,2098.0,1238.0,1381.0,2861.0,4242.0,2009.0,469.0,947.0,2644.0,1603.0,439.0,341.0,717.0,2150.0,06,037,201302,06037201302,90042,06037201302
"Census Tract 2014.01, Los Angeles County, California",4568.0,1329.0,48.0,366.0,3559.0,191.0,364.0,35.0,113.0,353.0,0.0,0.0,144.0,965.0,13.0,78.0,13.0,0.0,2325.0,165.0,31.4,2106.0,2462.0,21611.0,1015.0,1942.0,1323.0,1075.0,2805.0,1763.0,4568.0,1349.0,879.0,932.0,3208.0,1360.0,847.0,605.0,723.0,650.0,06,037,201401,06037201401,90032,06037201401
