,med_age_weight,med_income_weight,month_housing_costs_weight,total_pop,med_age,med_income,month_housing_costs,Against Family/Child,Aggravated Assault,Burglary,Disorderly Conduct,Disturbing the Peace,Driving Under Influence,Drunkeness,Federal Offenses,Forgery/Counterfeit,Fraud/Embezzlement,Gambling,Homicide,Larceny,Liquor Laws,Miscellaneous Other Violations,Moving Traffic Violations,Narcotic Drug Laws,Non-Criminal Detention,Other Assaults,Pre-Delinquency,Prostitution/Allied,Rape,Receive Stolen Property,Robbery,Sex (except rape/prst),Vehicle Theft,Weapon (carry/poss),General Mental Health Program,General Mental Health Resource,Substance Abuse Program
90001,2549743.7,1859719526.0,109830976.0,85439.0,29.842855136413117,21766.634979341987,1285.4899518955044,3.0,24.0,4.0,,,42.0,,1.0,,,,1.0,3.0,,14.0,4.0,7.0,,15.0,,,,3.0,7.0,,23.0,18.0,2.0,2.0,1.0
90002,1937620.4,1426339788.0,93298147.0,67896.0,28.538064098032283,21007.714563449983,1374.1331889949333,15.0,87.0,12.0,2.0,,32.0,,,,1.0,,4.0,7.0,,57.0,19.0,19.0,,60.0,,,,4.0,25.0,,35.0,73.0,1.0,4.0,1.0
90003,4043026.2,3031933130.0,188588435.0,139506.0,28.981020171175434,21733.352902384126,1351.8302797012316,29.0,267.0,51.0,3.0,,195.0,1.0,1.0,1.0,3.0,,19.0,33.0,,159.0,54.0,87.0,4.0,166.0,,160.0,5.0,11.0,68.0,29.0,171.0,178.0,2.0,6.0,1.0
90004,2865510.3,2653570046.0,134322386.0,79367.0,36.10455604974359,33434.173472601964,1692.4211070092103,7.0,95.0,21.0,1.0,,49.0,1.0,,1.0,4.0,,2.0,12.0,,70.0,8.0,49.0,1.0,43.0,,44.0,1.0,3.0,9.0,2.0,21.0,20.0,,5.0,
90005,2756055.6,2265992573.0,118253352.0,74974.0,36.76015151919332,30223.711860111507,1577.2581428228452,8.0,61.0,20.0,,,22.0,,,,4.0,,3.0,9.0,,37.0,3.0,18.0,,46.0,,,1.0,1.0,13.0,4.0,19.0,5.0,2.0,12.0,1.0
90006,3303160.5,2081108707.0,114453697.0,95783.0,34.48587432007768,21727.32851341052,1194.9270434210664,3.0,121.0,28.0,,,103.0,3.0,,3.0,4.0,,2.0,16.0,,139.0,19.0,67.0,,86.0,,15.0,2.0,4.0,33.0,9.0,44.0,23.0,2.0,,
90007,2363958.7,1468942197.0,95163664.0,78348.0,30.17254684229336,18748.94313830602,1214.6278654209425,5.0,75.0,32.0,2.0,,43.0,,,1.0,3.0,,2.0,12.0,,77.0,12.0,49.0,,49.0,,,3.0,4.0,31.0,5.0,67.0,62.0,5.0,5.0,1.0
90008,1223573.6,1148751556.0,51664810.0,28440.0,43.02298171589311,40392.10815752461,1816.62482419128,8.0,75.0,7.0,,1.0,22.0,,,,1.0,,1.0,12.0,,40.0,7.0,24.0,,37.0,,,5.0,,7.0,1.0,24.0,32.0,7.0,12.0,5.0
90009,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90010,1762718.9,1548476795.0,80177287.0,47517.0,37.096594902876866,32587.84845423743,1687.3389944651387,,13.0,5.0,1.0,,2.0,,,,,,,1.0,,15.0,1.0,4.0,,10.0,,3.0,1.0,,6.0,1.0,5.0,5.0,3.0,6.0,2.0
90011,3669041.2,2557108663.0,162841212.0,124970.0,29.35937585020405,20461.780131231495,1303.0424261822839,38.0,180.0,49.0,,,98.0,1.0,2.0,,1.0,,4.0,9.0,,141.0,37.0,60.0,,109.0,,,4.0,4.0,34.0,13.0,119.0,98.0,3.0,8.0,2.0
90012,1420632.2,-78479666383.0,64453256.0,37135.0,38.255882590548,-2113361.1520937122,1735.64712535344,6.0,97.0,43.0,7.0,1.0,19.0,,1.0,1.0,18.0,,4.0,33.0,,169.0,14.0,54.0,,78.0,,,6.0,1.0,26.0,21.0,18.0,21.0,3.0,3.0,
90013,217497.59999999998,38181888.0,1465344.0,3072.0,70.8,12429.0,477.0,3.0,116.0,22.0,1.0,1.0,7.0,,,,4.0,,3.0,7.0,,112.0,7.0,107.0,,81.0,,1.0,7.0,4.0,30.0,5.0,17.0,32.0,4.0,14.0,
90014,71444.4,65131425.0,3488047.0,2053.0,34.8,31725.0,1699.0,,47.0,22.0,,,6.0,,,1.0,2.0,,2.0,7.0,,70.0,5.0,59.0,,44.0,,,1.0,3.0,17.0,4.0,13.0,11.0,,5.0,
90015,1278475.1,771989962.0,41364590.0,40106.0,31.877402383683243,19248.739889293374,1031.3815887897072,6.0,99.0,31.0,1.0,1.0,39.0,2.0,,1.0,4.0,,2.0,17.0,,105.0,18.0,46.0,,60.0,,1.0,3.0,3.0,25.0,6.0,57.0,43.0,8.0,8.0,2.0
90016,3082741.9,2702846408.0,128913063.0,81629.0,37.76527827120263,33111.350230922835,1579.2556934422817,5.0,72.0,20.0,,,38.0,,,3.0,3.0,,4.0,31.0,,66.0,8.0,35.0,3.0,59.0,,,2.0,5.0,15.0,8.0,32.0,30.0,,,
90017,1143325.9,653488942.0,35076665.0,34546.0,33.095753488102815,18916.48648179239,1015.3611127192729,3.0,96.0,18.0,4.0,,20.0,1.0,1.0,1.0,8.0,,3.0,68.0,,89.0,10.0,33.0,,73.0,,,1.0,2.0,24.0,11.0,16.0,25.0,,7.0,
90018,2956832.7,2128425363.0,116981710.0,85873.0,34.43262375834081,24785.734316956437,1362.2641575349644,4.0,99.0,14.0,1.0,,42.0,2.0,,2.0,3.0,,4.0,7.0,,66.0,10.0,39.0,,56.0,,4.0,2.0,7.0,22.0,6.0,30.0,33.0,,3.0,
90019,2770512.4,2206106161.0,111851990.0,72051.0,38.45210198331737,30618.67511901292,1552.4002442714188,11.0,86.0,59.0,2.0,,66.0,1.0,1.0,2.0,11.0,,4.0,27.0,,76.0,18.0,56.0,1.0,61.0,,,3.0,5.0,28.0,4.0,28.0,27.0,,1.0,
90020,2690278.4,2427955872.0,119877115.0,73415.0,36.644805557447384,33071.65936116598,1632.8695089559355,6.0,63.0,10.0,2.0,,16.0,,,,1.0,,,7.0,,51.0,5.0,9.0,,32.0,,5.0,1.0,1.0,15.0,3.0,18.0,16.0,6.0,7.0,1.0
90021,134494.8,113868477.0,6032743.0,4321.0,31.125850497570003,26352.343670446655,1396.1451052996993,2.0,46.0,24.0,2.0,,34.0,1.0,,,2.0,,1.0,9.0,,82.0,7.0,87.0,,28.0,,5.0,2.0,1.0,17.0,7.0,39.0,31.0,,2.0,
90022,3172686.6,2297194023.0,115287189.0,94317.0,33.63854448296701,24356.097235917172,1222.3373198893094,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,
90023,2320260.2,1607675855.0,86971707.0,72951.0,31.805735356609233,22037.749379720633,1192.1934860385738,11.0,46.0,17.0,,,31.0,,,,3.0,,3.0,3.0,,83.0,13.0,36.0,,35.0,,,2.0,10.0,5.0,2.0,29.0,21.0,,,
90024,1022236.2999999999,901490135.0,-8637942102839.0,34219.0,29.87335398462842,26344.724714339987,-252431166.97854993,1.0,11.0,6.0,,,7.0,,,,,,,6.0,,21.0,1.0,4.0,,13.0,,1.0,1.0,,5.0,,5.0,2.0,4.0,3.0,
90025,1141661.6,1805590899.0,68018195.0,31916.0,35.77082341145507,56573.2202970297,2131.1628963529265,2.0,27.0,12.0,,,22.0,,,,,,2.0,8.0,1.0,36.0,2.0,19.0,,35.0,,5.0,,1.0,10.0,3.0,2.0,6.0,,,
90026,3173767.3,-76190451527.0,139156130.0,87600.0,36.230220319634704,-869754.0128652968,1588.540296803653,8.0,75.0,26.0,1.0,,18.0,,1.0,,3.0,,2.0,6.0,,81.0,10.0,31.0,,61.0,,,2.0,5.0,18.0,2.0,46.0,26.0,7.0,9.0,1.0
90027,2502750.8,-645278192.0,-3222951322.0,64032.0,39.085938280859565,-10077.433033483258,-50333.4476824088,2.0,40.0,15.0,2.0,,8.0,1.0,,1.0,2.0,,1.0,15.0,,74.0,10.0,36.0,,53.0,,9.0,1.0,4.0,17.0,5.0,20.0,13.0,1.0,3.0,
90028,1726684.4,1798406249.0,80247953.0,47393.0,36.4333213765746,37946.66404321313,1693.2448462853165,6.0,161.0,61.0,9.0,2.0,42.0,3.0,1.0,2.0,23.0,2.0,1.0,46.0,1.0,203.0,31.0,131.0,,132.0,,53.0,6.0,6.0,43.0,16.0,37.0,64.0,,5.0,
90029,3075580.4,2332839602.0,118458094.0,83739.0,36.72817205841961,27858.460239553853,1414.6108026128804,2.0,48.0,10.0,,1.0,20.0,2.0,,,3.0,,1.0,10.0,,48.0,11.0,32.0,1.0,50.0,,62.0,1.0,,15.0,4.0,18.0,27.0,,1.0,
90030,83850.0,62381605.0,3887845.0,2795.0,30.0,22319.0,1391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90031,1719142.5,1149166122.0,64419051.0,45783.0,37.54980014415831,25100.280060284385,1407.0517659393224,7.0,41.0,12.0,,1.0,17.0,,,1.0,1.0,,,9.0,,42.0,5.0,15.0,,30.0,,,2.0,4.0,10.0,2.0,26.0,21.0,4.0,5.0,
90032,2946577.7,2106539255.0,111007322.0,77642.0,37.95082172020299,27131.439877901135,1429.7329022951496,5.0,46.0,16.0,,,12.0,,,,1.0,1.0,,2.0,,39.0,7.0,18.0,,26.0,,,1.0,7.0,6.0,2.0,24.0,15.0,,2.0,
90033,1770794.1,1183298970.0,64371602.0,55471.0,31.92288042400534,21331.84853346794,1160.4550485839447,7.0,83.0,7.0,,,35.0,,,,,,2.0,5.0,,101.0,25.0,48.0,1.0,52.0,,,3.0,1.0,19.0,6.0,36.0,29.0,5.0,18.0,1.0
