x,y,objectid,cat1,cat2,name,city,state,post_id,zip,latitude,longitude,date_updated,point_x,point_y,program_type
-118.043903456944,34.5713575663835,72440,Health and Mental Health,Mental Health Centers,"JWCH Institute, Inc. – Wesley Palmdale East",Palmdale,CA,2007348,93552,34.5713576,-118.0439034,2020/02/19 11:37:40+00,6548453.96038596,2030311.6305974,General Mental Health Resource
-118.137914857485,34.5825708660132,72218,Health and Mental Health,Mental Health Centers,TESSIE CLEVELAND COM SERVICES,PALMDALE,CA,2005585,93551,34.5825709,-118.1379148,2018/03/06 09:13:11+00,6520159.06618847,2034418.02625598,General Mental Health Resource
-118.14785005703,34.60933996624,71781,Health and Mental Health,Mental Health Centers,CHILD AND FAM GUIDANCE CENTER-PALMDALE,PALMDALE,CA,1000153,93551,34.60934,-118.14785,2017/02/08 10:49:24+00,6517182.98158947,2044164.24528056,General Mental Health Resource
-118.140270056951,34.5837599658522,71953,Health and Mental Health,Mental Health Centers,OPTIMIST YOUTH HOMES-PALMDALE,PALMDALE,CA,1000335,93551,34.58376,-118.14027,2016/05/30 18:53:23+00,6519450.77429797,2034851.75078222,General Mental Health Resource
-118.10088005768,34.5799799661892,71842,Health and Mental Health,Mental Health Centers,PALMDALE DISCOVERY CENTER,PALMDALE,CA,1000221,93550,34.57998,-118.10088,2016/05/30 18:53:23+00,6531305.29422405,2033461.89135723,General Mental Health Resource
-118.085671457143,34.5813183661499,72069,Health and Mental Health,Mental Health Centers,ANTELOPE VALLEY KIDZ CONNECTION,PALMDALE,CA,1000455,93550,34.5813184,-118.0856714,2018/03/13 13:19:47+00,6535883.51866339,2033944.7214283,General Mental Health Resource
-118.101980657569,34.5803919665463,72220,Health and Mental Health,Mental Health Centers,"INSTITUTE FOR FAMILY CENTERED SERVICES, DBA CA MENTOR",PALMDALE,CA,2005589,93550,34.580392,-118.1019806,2019/02/13 09:51:31+00,6530974.16430889,2033612.16303831,General Mental Health Resource
-118.110600056981,34.5789399661812,72188,Health and Mental Health,Mental Health Centers,SSG PROJECT 180 NORTH,PALMDALE,CA,1000579,93550,34.57894,-118.1106,2020/06/02 15:21:08+00,6528379.14522073,2033086.48659623,General Mental Health Resource
-118.087710057742,34.5801799661446,71910,Health and Mental Health,Mental Health Centers,EMERGENCY OUTREACH BUREAU/CRISIS HOMELESS - AV,PALMDALE,CA,1000292,93550,34.58018,-118.08771,2018/03/02 10:19:00+00,6535269.54548189,2033530.95782015,General Mental Health Resource
-118.10227005714,34.5807999660911,71824,Health and Mental Health,Mental Health Centers,CHILD BUREAU OF SOUTHERN CA-PALMDALE,PALMDALE,CA,1000199,93550,34.5808,-118.10227,2018/03/05 13:30:51+00,6530887.20614947,2033760.73295115,General Mental Health Resource
-118.123270057024,34.6084199657513,72003,Health and Mental Health,Mental Health Centers,SPECIALIZED FOSTER CARE-PALMDALE,PALMDALE,CA,1000387,93550,34.60842,-118.12327,2018/03/02 10:40:34+00,6524578.56784813,2043819.45856856,General Mental Health Resource
-118.101980657569,34.5803919665463,72458,Health and Mental Health,Mental Health Centers,MHA PALMDALE ADULT INTEGRATED SRVS,PALMDALE,CA,2007606,93550,34.580392,-118.1019806,2019/08/07 10:39:40+00,6530974.16430889,2033612.16303831,General Mental Health Resource
-118.10227005714,34.5807999660911,71865,Health and Mental Health,Mental Health Centers,PALMDALE MENTAL HEALTH CENTER,PALMDALE,CA,1000246,93550,34.5808,-118.10227,2018/06/01 09:11:23+00,6530887.20614947,2033760.73295115,General Mental Health Resource
-118.123880357624,34.6100102657335,72409,Health and Mental Health,Mental Health Centers,MCKINLEY CHILDRENS CENTER,PALMDALE,CA,2007151,93550,34.6100103,-118.1238803,2019/03/22 16:15:57+00,6524395.64268905,2044398.43674131,General Mental Health Resource
-118.124017156883,34.5796299665367,72214,Health and Mental Health,Mental Health Centers,TARZANA TREATMENT CENTERS,PALMDALE,CA,2005570,93550,34.57963,-118.1240171,2019/12/24 07:46:59+00,6524340.84030522,2033342.30826306,General Mental Health Resource
-118.077050457258,34.5793001663271,72449,Health and Mental Health,Mental Health Centers,CHILD AND FAMILY CENTER,PALMDALE,CA,2007474,93550,34.5793002,-118.0770504,2019/07/05 08:41:19+00,6538477.84680805,2033208.14678597,General Mental Health Resource
-118.22758005728,34.6987799662267,71762,Health and Mental Health,Mental Health Centers,CHALLENGER MENTAL HEALTH UNIT,LANCASTER,CA,1000134,93536,34.69878,-118.22758,2017/07/06 14:11:09+00,6493266.34536771,2076758.76998639,General Mental Health Resource
-118.127100057102,34.6695599660848,72097,Health and Mental Health,Mental Health Centers,ANTELOPE VALLEY WELLNESS & ENRICHMENT CENTER,LANCASTER,CA,1000484,93535,34.66956,-118.1271,2020/06/10 17:18:33+00,6523454.26136972,2066071.44785714,General Mental Health Resource
-118.126170057491,34.6694499662964,72011,Health and Mental Health,Mental Health Centers,SPECIALIZED FOSTER CARE-LANCASTER,LANCASTER,CA,1000395,93535,34.66945,-118.12617,2018/03/02 10:49:15+00,6523733.84053497,2066031.06342348,General Mental Health Resource
-118.123057957013,34.6698636656026,71644,Health and Mental Health,Mental Health Centers,ANTELOPE VALLEY MHC,LANCASTER,CA,1000013,93535,34.6698637,-118.1230579,2018/06/28 13:11:38+00,6524669.76287572,2066180.46076247,General Mental Health Resource
-118.124855157005,34.7045415655037,72216,Health and Mental Health,Mental Health Centers,HIGH DESERT REGIONAL MEDICAL CENTER,LANCASTER,CA,2005577,93535,34.7045416,-118.1248551,2018/03/06 17:10:14+00,6524145.06379388,2078801.46734457,General Mental Health Resource
-118.125110056946,34.670829965852,72124,Health and Mental Health,Mental Health Centers,MASADA HOMES,LANCASTER,CA,1000513,93535,34.67083,-118.12511,2018/03/02 14:23:43+00,6524053.18372831,2066532.88755105,General Mental Health Resource
-118.124900057202,34.7041099659996,72135,Health and Mental Health,Mental Health Centers,DMH/DHS COLLABORATION,LANCASTER,CA,1000524,93535,34.70411,-118.1249,2018/03/02 14:33:35+00,6524131.37386064,2078644.4115563,General Mental Health Resource
-118.124679957036,34.666986166368,72453,Health and Mental Health,Mental Health Centers,LANCASTER GR PEI PROGRAM,LANCASTER,CA,2007569,93535,34.6669862,-118.1246799,2019/07/31 09:35:25+00,6524180.76779072,2065133.85524414,General Mental Health Resource
-118.130080057222,34.6736199663543,71895,Health and Mental Health,Mental Health Centers,PENNY LANE CENTERS,LANCASTER,CA,1000277,93534,34.67362,-118.13008,2018/03/06 17:15:28+00,6522560.15620255,2067550.14798373,General Mental Health Resource
