X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.242582555716,33.9243746669643,61792,,,Health and Mental Health,Mental Health Centers,NGA,Augustues F. Hawkins Mental Health Center,Augustus F. Hawkins Mental Health Center,"1720 E. 120th St., ",,Los Angeles,CA,,310 668-4272,,,,68253,,90059,http://egis3.lacounty.gov/lms/?p=68253,publish,33.9243747,-118.2425825,2013/08/21 11:15:59+00,,,6488076.91414556,1794947.48616914
-118.143896056403,33.8922819669505,61794,,,Health and Mental Health,Mental Health Centers,,La Paz Gero-Psychiatric Center,La Paz Gero-Psychiatric Center,"8835 Vans St., ",,Paramount,CA,,562633-5111,,,,68255,,90723,http://egis3.lacounty.gov/lms/?p=68255,publish,33.892282,-118.143896,2013/08/21 11:18:46+00,,Active,6517999.16466838,1783210.66810739
-118.143896056403,33.8922819669505,61795,,,Health and Mental Health,Mental Health Centers,NGA,La Paz Gero-Psychiatric Center,La Paz Gero-Psychiatric Center,"8835 Vans St., ",,Paramount,CA,,562633-5111,,,,68255,,90723,http://egis3.lacounty.gov/lms/?p=68255,publish,33.892282,-118.143896,2013/08/21 11:18:46+00,,Active,6517999.16466838,1783210.66810739
-118.26695205606,34.0073849667321,61797,,,Health and Mental Health,Mental Health Centers,,Kedren Mental Health Center,Kedren Mental Health Center,"4211 S. Avalon Blvd.,",,"Los Angeles, ",CA,,(323) 900-8900,,,,68259,,90011,http://egis3.lacounty.gov/lms/?p=68259,publish,34.007385,-118.266952,2013/09/10 15:09:10+00,,,6480764.06623846,1825175.34205189
-118.26695205606,34.0073849667321,61799,,,Health and Mental Health,Mental Health Centers,NGA,Kedren Mental Health Center,Kedren Mental Health Center,"4211 S. Avalon Blvd.,",,"Los Angeles, ",CA,,(323) 900-8900,,,,68259,,90011,http://egis3.lacounty.gov/lms/?p=68259,publish,34.007385,-118.266952,2013/09/10 15:09:10+00,,,6480764.06623846,1825175.34205189
-118.264830055682,33.930406967003,61801,,,Health and Mental Health,Mental Health Centers,,Alafia Mental Health Center,Alafia Mental Health Center,"11410 Avalon Blvd., ",,Los Angeles,CA,,(323) 352 -6422 ,,,,68263,,90061,http://egis3.lacounty.gov/lms/?p=68263,publish,33.930407,-118.26483,2013/09/10 15:21:11+00,,,6481333.38202897,1797159.80326681
-118.264830055682,33.930406967003,61803,,,Health and Mental Health,Mental Health Centers,NGA,Alafia Mental Health Center,Alafia Mental Health Center,"11410 Avalon Blvd., ",,Los Angeles,CA,,(323) 352 -6422 ,,,,68263,,90061,http://egis3.lacounty.gov/lms/?p=68263,publish,33.930407,-118.26483,2013/09/10 15:21:11+00,,,6481333.38202897,1797159.80326681
-118.338235056455,34.0071459670346,61805,,,Health and Mental Health,Mental Health Centers,,Alafia Mental Health Institution,Alafia Mental Health Institution,"3701 Stocker St., ",Room 310      ,Los Angeles,CA,,(323) 293 - 38771,,,,68269,,90061,http://egis3.lacounty.gov/lms/?p=68269,publish,34.007146,-118.338235,2013/09/10 15:37:02+00,,,6459159.80826597,1825153.4008228
-118.338235056455,34.0071459670346,61806,,,Health and Mental Health,Mental Health Centers,NGA,Alafia Mental Health Institution,Alafia Mental Health Institution,"3701 Stocker St., ",Room 310      ,Los Angeles,CA,,(323) 293 - 38771,,,,68269,,90061,http://egis3.lacounty.gov/lms/?p=68269,publish,34.007146,-118.338235,2013/09/10 15:37:02+00,,,6459159.80826597,1825153.4008228
-118.226908056463,33.9234522670791,61808,,,Health and Mental Health,Mental Health Centers,,Barbour & Floyd Medical Association,Barbour & Floyd Medical Association,"2610 Industry Way, ",Suite A,Lynwood,CA,,310 631 - 8004,,,,68274,,90262,http://egis3.lacounty.gov/lms/?p=68274,publish,33.9234523,-118.226908,2013/08/21 13:40:53+00,,,6492831.39610639,1794600.69978923
-118.226908056463,33.9234522670791,61809,,,Health and Mental Health,Mental Health Centers,NGA,Barbour & Floyd Medical Association,Barbour & Floyd Medical Association,"2610 Industry Way, ",Suite A,Lynwood,CA,,310 631 - 8004,,,,68274,,90262,http://egis3.lacounty.gov/lms/?p=68274,publish,33.9234523,-118.226908,2013/08/21 13:40:53+00,,,6492831.39610639,1794600.69978923
-118.223897356069,33.9216023669531,61811,,,Health and Mental Health,Mental Health Centers,,Barbour & Floyd Medical Association ,Barbour & Floyd Medical Association ,3201 N. Alemeda St. ,Suite H,Compton,CA,,310 639-5984,,,,68278,,90222,http://egis3.lacounty.gov/lms/?p=68278,publish,33.9216024,-118.2238973,2013/08/21 13:45:28+00,,,6493743.27584431,1793925.43276706
