X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,email,dis_status,POINT_X,POINT_Y
-118.13607055734,34.6952662259313,1,LA County Department of Mental Health,7673,Health and Mental Health,Mental Health Programs,,,Residential Program,44738 Sierra Highway,,Lancaster,CA,"Operational Hours: Contact Provider; Walk-In Hours: Contact Provider",(661) 942-5749,,Outpatient,Adult,215,"Case Management, Crisis Intervention, Full Service Partnership, Medication Support, Mental Health Services, Psych Testing, Therapeutic Behavioral Services (Tbs)<Br>Languages Spoken: English",93534,http://egis3.lacounty.gov/lms/?p=215,publish,34.69526626,-118.1360705,2010/11/01 19:50:56+00,,,6520769.70309055,2075430.2588639
-118.544522355998,34.379410006369,5,LA County Department of Mental Health,7413,Health and Mental Health,Mental Health Programs,,,Olive Vista,"23504 Lyons Avenue, Suite 204",,Newhall,CA,"Operational Hours: Contact Provider; Walk-In Hours: Contact Provider",(661) 259-9439,,Outpatient,Adult/Child/Youth,541,"Medication Support, Mental Health Services<Br>Languages Spoken: English, Spanish",91321,http://egis3.lacounty.gov/lms/?p=541,publish,34.37941004,-118.5445223,2010/11/01 19:50:56+00,,,6397373.69364947,1960899.79369956
-118.486827056165,34.1996899667923,14,211,,Health and Mental Health,Mental Health Programs,,,Valley Trauma Counseling Center - Sophia Ave Van Nuys Office,7116 Sophia Ave.,,Van Nuys,CA,"SITE HOURS: Appointment hours vary; please call. ","24 hours/7days Service/Intake and Hotline (818) 886-0453,  Administrative (818) 756-5330,  FAX (818) 756-5443",www.csun.edu/vtc,,,563,"The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",91406,http://egis3.lacounty.gov/lms/?p=563,publish,34.19969,-118.486827,2013/06/01 11:50:56+00,,,6414464.97147472,1895407.79673105
-118.257443036499,34.128058406799,26,211,,Health and Mental Health,Mental Health Programs,,,Glendale Memorial Hospital And Health Center,1420 S. Central Ave.,,Glendale,CA,"Monday through Friday, 9:00am to 5:00pm.  Emergency Room is open 24 hours a day","Breastfeeding Service/Intake (818) 507-4191, Community Programs Service/Intake (818) 502-2373, Financial Counselor - Health Coverage Questions Service/Intake (818) 502-2378, Hospital Main Number Service/Intake (818) 502-1900, 50 Plus Service/Intake (818) ",http://www.glendalememorial.com/,,,570,"Established in 1926, Glendale Memorial Hospital and Health Center is fully accredited by The Joint Commission, the leading accrediting body for health care organizations in the United States. We are a 334-licensed bed facility with 1,000 employees, upwards 500 physicians representing all major specialties, and a dedicated team of 400 volunteers.",91204,http://egis3.lacounty.gov/lms/?p=570,publish,34.12805844,-118.25744298,2016/01/22 16:10:02+00,,,6483758.47166698,1869083.06919689
-118.265746295854,34.0373643265048,55,211,,Health and Mental Health,Mental Health Programs,,Catholic Healthcare West,California Hospital Medical Center,1401 S. Grand Ave.,,Los Angeles,CA,24 hours a day.,"Children's Health Insurance Enrollment Service/Intake and Hotline (213) 742-5537, Community Health Education class information Service/Intake (213) 742-6349, Healthy Eating Lifestyle Program (HELP) - ON HOLD Service/Intake (213) 742-5838,  Service/Intake ",http://www.chmcla.org,,,574,"The medical center provides comprehensive hospital services and safe haven services for people of all ages in Los Angeles County. The hospital is also authorized to enroll children in low-cost health insurance programs through the Healthy Kids program; it also provides family preservation and anger management through it's Pico Union Family Preservation Program; perinatal health care at the Womens Heath Center location; and sponsors a weight management program for youth and their parents. Geographic restrictions apply for the school readiness program; there are no geographic restrictions for other programs.",90015,http://egis3.lacounty.gov/lms/?p=574,publish,34.03736436,-118.26574624,2016/01/21 17:29:05+00,,,6481158.34366514,1836084.42489247
-118.186743556181,33.808107267285,82,211,,Health and Mental Health,Mental Health Programs,,Memorial Care Health Systems,Long Beach Memorial Medical Center,2801 Atlantic Ave,,Long Beach,CA,Hospital hours are 8:00am to 9:00pm. Emergency room hours are 24 hours per day,"General Phone number (562) 933-2000 
Emergency Department
(562) 933-1400 ",http://memorialcare.org/locations/search/adult-service/long-beach-memorial,,,577,"MemorialCare Health System offers an extensive network of compassionate care with advanced technology, leading hospitals and top docLong Beach Memorial Medical Center has been recognized as a major regional provider of medical and surgical services. Long Beach Memorial consistently achieves national accolades for its quality care, including being named as one of the U.S. top 125 hospitals by Consumers’ CHECKBOOK; named Top 100 Hospitals Cardiovascular by Thomson Reuters; and named one of “America’s Best Hospitals” for Orthopedics by U.S. News &amp; World Report magazine. Our state-of-the-art electronic medical record system ensures our patients receive the best, safest possible care.ors across the Southland.",90806,http://egis3.lacounty.gov/lms/?p=577,publish,33.8081073,-118.1867435,2016/01/25 13:37:43+00,,,6504938.42963505,1752598.80807139
-118.588722655804,34.4374051059195,96,211,,Health and Mental Health,Mental Health Programs,,,Valley Trauma Counseling Center - Santa Clarita / Valencia Office,28231 Ave Crocker,Suite 30,Valencia,CA,"Monday through Friday, 8:00am to 8:00pm; Saturday by appointment. ","FAX (661) 702-1343, 24 hours Service/Intake and Hotline (661) 253-0258,  Administrative (661) 702-0000",www.csun.edu/vtc,,,581,"The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",91355,http://egis3.lacounty.gov/lms/?p=581,publish,34.43740514,-118.5887226,2013/06/01 11:50:56+00,,,6384161.06587531,1982080.19982947
-118.307462055479,33.7380669676096,108,211,,Health and Mental Health,Mental Health Programs,,california.providence.org/san-pedro/Pages/default.aspx,Providence Little Company Of Mary Medical Center - Recovery Center,1386 W. 7th St.,,San Pedro,CA,"Monday through Friday, 7:00am to 7:00pm. ","Inpatient Service/Intake (310) 514-5300, Toll Free Service/Intake (866) 404-7346",california.providence.org/san-pedro/Pages/default.aspx,,,591,"The hospital provides hospital services, inpatient treatment for substance abuse, mental health services, services for older adults, and substance abuse services for people of all ages in Los Angeles.",90732,http://egis3.lacounty.gov/lms/?p=591,publish,33.738067,-118.307462,2017/10/31 16:49:05+00,,,6468186.77347971,1727199.41005139
-118.535918056335,34.2285859663897,143,211,,Health and Mental Health,Mental Health Programs,,,Valley Trauma Counseling Center,8700 Reseda Blvd.,,Northridge,CA,"Monday through Friday, 8:00am to 8:00pm; Saturday by appointment. ","Administrative (818) 772-9981,  FAX (818) 772-9982, 24 hours/7days Service/Intake and Hotline (818) 886-0453",www.csun.edu/vtc,,,614,"The center provides sexual assault services and family support services, primarily for survivors of all interpersonal violence, who live in the San Fernando Valley and Santa Clarita Valley.",91324,http://egis3.lacounty.gov/lms/?p=614,publish,34.228586,-118.535918,2013/06/01 11:50:56+00,,,6399677.17493489,1905998.94057497
-118.310283156015,33.9284297669713,144,211,,Health and Mental Health,Mental Health Programs,,Shields For Families Inc. - Tamar Village,Shields For Families Inc. - Tamar Village,11601 S. Western Ave.,,Los Angeles,CA,"Monday through Friday, 8:00am to 5:00pm. ","Service/Intake and Administration (323) 242-5000 Ext.200,  Service/Intake (323) 777-0130 Ext.234",www.shieldsforfamilies.org,,,619,"The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for families who live in the South Central Los Angeles/Compton area.",90047,http://egis3.lacounty.gov/lms/?p=619,publish,33.9284298,-118.3102831,2016/05/16 08:38:19+00,,,6467542.8715523,1796479.70390522
